768225400254111744	NONE
770077064833671168	P
771207534342320128	N
771900763987513345	N
772550560998301697	N
772594807357124608	NEU
772264329433509888	P
771140523562143744	NONE
773525753082187776	P
774595982600253441	P
774723515995914240	N
773655374796759041	NEU
774256876787671040	N
774803451830087680	NONE
774852457209880576	P
774865746639728640	N
773360298472329216	NONE
773378686301016065	N
775116236912984064	P
768160329486495744	NONE
768203766898233345	NONE
769270495971770368	NONE
769305893976485888	N
769344454088019968	P
769339737043677186	P
757258941210382340	N
757247192050446337	NONE
757252258127941632	P
757123970256605185	NEU
757418118947872768	N
756912334816186368	N
756520939492302849	NEU
756650097102893056	N
756618178650923008	NEU
756700943043928064	P
756313579872096256	NONE
756354568003457024	P
757793484468211713	N
756184498606190592	N
775941293411176450	P
775928256633581568	N
756194807630798853	N
758066276388384768	P
755513187957518336	NONE
760675856326860800	P
760711448544837632	P
759198767451025408	P
760357231913119744	P
760177672525783040	P
760585615532437506	N
760090117587476480	P
759229676669792257	N
760756300007477248	P
761208380954337280	N
761702018197164032	P
763031266169982977	P
762833657526497281	P
763042513913544705	P
764523142995783680	NEU
763092730163568640	N
762980998762012672	N
763162519582052352	N
765284549127442436	N
764569008465072129	N
758120146607091712	P
755603120034488320	NONE
755006351793807360	NONE
755234728156864512	P
758395896094752768	N
755966460355235840	NEU
758632139751579649	N
758451150349664256	NEU
766391854149623809	N
767053112007733248	N
766460456634425344	N
767170856778928133	NONE
767154504647139328	N
767156227042226177	NEU
761474790284595200	N
762419931371622400	P
761938992849838081	NEU
761195957903953920	P
762076127376515073	NONE
760726897819017216	NEU
760715780732354561	NONE
762534291255414784	P
761372585900638208	P
777291543321260032	N
777637901777514497	N
779066354758397954	N
779085697554579456	NEU
778795757985865730	P
779475155022123008	N
779505704000364544	P
778686044405321728	N
777260686258819072	N
778387007831552000	NEU
778399423256592384	NEU
778399123007569920	P
779322857750827008	N
779181319024619520	N
779173176357982208	P
779167291774685184	P
783372962971971585	NEU
783221220649172992	NONE
784013195321061376	P
783173947051216896	NONE
784856579795513344	N
784796015702441984	P
784254527365013504	N
785140294119485440	NEU
785015004647030784	N
780613787376242703	N
779847537574318080	NONE
